ID,Li,Be,B,O,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,YoungModulusGPa
462933_39169,0.066558946580752,0,0.001118638137702,0.590361060676934,0.060344298488939,0,0.069106959641688,0.202815234501383,0.000186439627529,0.000310732743592,0.00261015538145,0,0,0,0,0,0.000248586138994,0,0,0,0.000186439627529,0,0,0,0,0,0.000155366418362,0,0.00574855580302,0,0,0,0,0,0,0,0,0.000124293116063,0,0,0,0,0,0.000124293116063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
471644_39902,0.079012349152271,0,0,0.588888879087236,0.030864199856181,0,0.074074066303395,0.200617289528435,0,0.020987660384472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555568801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
471629_39902,0.079256968403748,0,0,0.588235282196718,0.034055728871756,0,0.07120742789363,0.201238403080418,0,0.019814239716751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006191949836979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
471639_39902,0.079256969443047,0,0,0.587616088242723,0.03405572931833,0,0.071207428827374,0.200619204051724,0,0.021052630198629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006191949918174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
494980_42961,0,0,0.285714288013322,0.571428576026644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285714284437,0.139999993115664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
499056_42997,0,0,0.011906278718289,0.635935305813288,0,0.014198397636504,0.079460070046048,0.225837272847551,0,0,0.016458676950385,0,0,0,0,0,6.36699187276891E-05,0,0,0,0,0,0,0,0,0,0.00378836038083,0,3.18349663487628E-05,0,0,0,0,0,0,0,0,0.000286514659886,0,0,0,0.012033618062143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3000030517578
498991_42997,0,0,0.006003291689658,0.636155277953717,0,0.019430006728317,0.076106248143482,0.230900855311944,0,0,0.014524097142929,0,0,0,0,0,6.45515296533781E-05,0,0,0,0,0,0,0,0,0,0.008294870512721,0,3.2275764826689E-05,0,0,0,0,0,0,0,0,0.000290481841531,0,0,0,0.008198043381223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
477883_40899,0,0,0,0.617526824131159,0.004788743012304,0.055586252825466,0.023501680156458,0.22569710026705,0,0,0.072899399607562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
495886_42484,0.00652528495423,0,0,0.600326282546337,0.068515497979877,0.050570957799234,0.071778136880713,0.199021197064472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003262642775138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
600315_43034,0,0,0,0.631617432646878,0,0,0.041113040611599,0.242678218626103,0,0,0.08459130811542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4000015258789
