"Li","Be","B","O","Na","Mg","Al","Si","P","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Ru","Rh","Pd","Ag","Cd","In","Sn","Sb","Te","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Hg","Tl","Pb","Bi","Th","U","Tg","Tliquidus"
0,0,0.144223888880338,0.611347652865096,0,0,0.007701955406179,0.145638588771265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001417623890701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769697040656,0,0,0.088900593145764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.15,1165.15
0,0,0.147412093278009,0.610124272178333,0,0,0.007872433641017,0.13931689364715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001448982933926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786745564124,0,0,0.090867125856459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002171452900982,0,911.15,1230.15
0,0,0.15074670319583,0.608846112907538,0,0,0.00805046717067,0.132709402813439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001481748031413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804549817056,0,0,0.092919871969901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004441144094152,0,903.15,1203.15
0,0,0.147055174912387,0.608775896142832,0,0,0.007853321660223,0.138982376289607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001445538753391,0,0,0,0,0,0,0,0,0,0,0,0.004454113240128,0,0,0.000784894466097,0,0,0.090648684535334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1195.15
0,0,0.150004801440046,0.606101705818576,0,0,0.008010713076903,0.132058201267759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001474446014155,0,0,0,0,0,0,0,0,0,0,0,0.009086882087234,0,0,0.000800569407685,0,0,0.092462680887642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.15,1183.15
0,0,0.146320186275167,0.610542242731138,0,0,0.007814367267012,0.138289087028484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001438298865088,0,0,0,0,0.004618457566789,0,0,0,0,0,0,0,0,0,0.000780938726748,0,0,0.090196421539576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.15,1228.15
0,0,0.148486601529412,0.609713206280046,0,0,0.007929941081678,0.130718701346403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001459554015033,0,0,0,0,0.009373388096546,0,0,0,0,0,0,0,0,0,0.000792496708163,0,0,0.091526110942719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1262.15
0,0,0.150711804792635,0.60885911936172,0,0,0.00804873325595,0.12292390390898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001481399047108,0,0,0,0,0.014271030453819,0,0,0,0,0,0,0,0,0,0.000804376225579,0,0,0.092899632954208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1303.15
0,0,0.153007407298453,0.6079790290006,0,0,0.008171318389772,0.114890505480277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001503949071738,0,0,0,0,0.019317830921461,0,0,0,0,0,0,0,0,0,0.000816635338954,0,0,0.094313324498746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1343.15
0,0,0.155371701724626,0.607071606738495,0,0,0.008297607092103,0.106610001183371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001527189016952,0,0,0,0,0.024520310272176,0,0,0,0,0,0,0,0,0,0.000829202909204,0,0,0.095772381063074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.15,1373.15
0,0,0.157813294965756,0.606135880664265,0,0,0.008427730731155,0.098067636871642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001551202950517,0,0,0,0,0.029886779046612,0,0,0,0,0,0,0,0,0,0.000842277873131,0,0,0.097275196896921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.15,1438.15
0,0,0.160328805018292,0.605169918941818,0,0,0.008562123267994,0.089253972793649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001575958049327,0,0,0,0,0.035424571108789,0,0,0,0,0,0,0,0,0,0.000855717726784,0,0,0.098828933093346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1473.15
0,0,0.162928798631398,0.604173394924944,0,0,0.008700693926914,0.080155199326696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001601498986547,0,0,0,0,0.041141339654413,0,0,0,0,0,0,0,0,0,0.000869575392696,0,0,0.100429499156392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.15,1520.15
0,0,0.013927579442897,0.609679675612813,0,0,0.07033425718663,0.138579394456824,0,0,0.084958206601672,0,0.038649018454039,0,0,0,0,0,0,0,0.043871868245125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.15,1555.15
0,0,0.013203610660181,0.612925630646281,0,0,0.066018073300904,0.149409307470465,0,0,0.080264074013204,0,0.036831141841557,0,0,0,0,0,0,0,0.041348162067408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.15,1536.15
0,0,0.014659679853403,0.606631793933682,0,0,0.073996509260035,0.128097698719023,0,0,0.089354279106457,0,0.040837699591623,0,0,0,0,0,0,0,0.046422339535777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941.15,1588.15
0,0,0.013009248568983,0.609380332968163,0,0,0.083533040811366,0.133173585350906,0,0,0.081478941037317,0,0.037315985895242,0,0,0,0,0,0,0,0.042108865368025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947.15,1590.15
0,0,0.014174350425231,0.610205518306166,0,0,0.056697381700922,0.144578304337349,0,0,0.088235302647059,0,0.040396881211907,0,0,0,0,0,0,0,0.045712261371368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.15,1498.15
