,mean_absolute_error,mean_absolute_error,r2_score,RRMSE,RMSE,range,alg
84,21.578833989746776,889.8903984820632,0.6093224663161959,0.6250420255341269,29.83103079818167,600,DT
85,21.084220042370678,910.0055742386379,0.63355459882474,0.6053473392815566,30.166298649960986,600,DT
86,20.747129132549272,825.5466987034529,0.6562445743976795,0.586306596928877,28.732328459480147,600,DT
87,20.215347514105552,829.8472009123308,0.6353137548694499,0.6038925774759532,28.807068592835524,600,DT
88,24.309602731940235,1255.719856544557,0.544026118009286,0.6752583816515823,35.43613772047621,600,DT
89,20.702692692715583,835.3788777369542,0.6560130989988684,0.5865039650344502,28.90292161247638,600,DT
90,22.32726093509199,925.9203342165767,0.5846823605380621,0.6444514252152275,30.428939091210143,600,DT
91,21.12955186769925,881.4778501105112,0.5747110177899548,0.652141842094222,29.68969265773075,600,DT
92,24.44074095486557,1117.0897703861092,0.5610217138287804,0.6625543646910943,33.42289290869522,600,DT
93,21.864281664482675,985.7955923264383,0.6033462687272513,0.6298045183013128,31.397381934270225,600,DT
94,23.116458308901233,1109.662687216043,0.564176534537109,0.6601692703109491,33.31159988976877,600,DT
95,21.087396518569363,883.2665445777191,0.5871196935896204,0.6425576288632636,29.719800547408106,600,DT
96,22.620175120174125,1068.953067219688,0.5601752461698163,0.6631928481446281,32.694847716722705,600,DT
97,22.247614211209232,957.8904744529991,0.6441457748151959,0.5965351835263399,30.94980572560996,600,DT
98,21.188187078767765,895.6497858062878,0.6360491698236782,0.6032833746891437,29.927408604927486,600,DT
99,20.61300781082328,782.7706853650436,0.6544339498524661,0.5878486626229016,27.97803934097319,600,DT
100,11.840817869871726,270.7079570217045,0.6141307470786519,0.6211837513339737,16.453205068365996,475,RF
101,13.670521648916461,353.86931925017893,0.5143893306398415,0.6968577109856492,18.81141459992254,475,RF
102,15.503700123326842,562.925736276892,0.3532652462119281,0.8041982055364659,23.726056062415683,475,RF
103,14.548173525838052,354.9891112693851,0.426625777674727,0.7572147795211561,18.841154722293034,475,RF
104,10.202037048155956,204.11285159691457,0.6744379860729957,0.5705804184573847,14.286806906965412,475,RF
105,14.04887930736015,315.0569987302478,0.5894723716417245,0.6407242998031801,17.749845033978403,475,RF
106,12.189054296801608,330.3763612733804,0.5483672878604078,0.6720362431741255,18.176258175801213,475,RF
